1:   java -Xmx200m -jar /app/ts-security-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f0567cf2000      4K r---- LC_TIME
00007f0567cf3000      4K r---- LC_MONETARY
00007f0567cf4000      4K r---- SYS_LC_MESSAGES
00007f0567cf5000      4K r---- LC_PAPER
00007f0567cf6000      4K r---- LC_NAME
00007f0567cf7000      4K r---- LC_ADDRESS
00007f0567cf8000      4K r---- LC_TELEPHONE
00007f0567cf9000     28K r--s- gconv-modules.cache
00007f0567d00000    192K rw---   [ anon ]
00007f0567d30000     92K -----   [ anon ]
00007f0567d47000    176K rw---   [ anon ]
00007f0567d73000     88K -----   [ anon ]
00007f0567d89000    140K rw---   [ anon ]
00007f0567dac000     32K rw-s- 1
00007f0567db4000     12K -----   [ anon ]
00007f0567db7000   1036K rw---   [ anon ]
00007f0567eba000      4K r---- LC_MEASUREMENT
00007f0567ebb000      4K r---- LC_IDENTIFICATION
00007f0567ebc000      4K rw---   [ anon ]
00007f0567ebd000      4K r----   [ anon ]
00007f0567ebe000      8K rw---   [ anon ]
00007f0567ec0000      4K r---- ld-2.19.so
00007f0567ec1000      4K rw--- ld-2.19.so
00007f0567ec2000      4K rw---   [ anon ]
00007ffe7bcfa000    132K rw---   [ stack ]
00007ffe7bd77000     12K r----   [ anon ]
00007ffe7bd7a000      8K r-x--   [ anon ]
ffffffffff600000      4K r-x--   [ anon ]
 total          9125260K
