1:   java -Xmx200m -jar /app/ts-train-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f42a1000000  24896K rwx--   [ anon ]
00007f42a2850000 220864K -----   [ anon ]
00007f42b0000000  31344K rw---   [ anon ]
00007f42b1e9c000  34192K -----   [ anon ]
00007f42b4002000     16K r--s- sunpkcs11.jar
00007f42b4006000     40K r--s- localedata.jar
00007f42b4010000    392K rw---   [ anon ]
00007f42b4072000   3448K -----   [ anon ]
00007f42b43d0000     32K r-x-- libzip.so
00007f42b43d8000   2044K ----- libzip.so
00007f42b45d7000      4K r---- libzip.so
00007f42b45d8000      4K rw--- libzip.so
00007f42b45d9000     44K r-x-- libnss_files-2.19.so
00007f42b45e4000   2044K ----- libnss_files-2.19.so
00007f42b47e3000      4K r---- libnss_files-2.19.so
00007f42b47e4000      4K rw--- libnss_files-2.19.so
00007f42b47e5000     40K r-x-- libnss_nis-2.19.so
00007f42b47ef000   2044K ----- libnss_nis-2.19.so
00007f42b49ee000      4K r---- libnss_nis-2.19.so
00007f42b49ef000      4K rw--- libnss_nis-2.19.so
00007f42b49f0000     84K r-x-- libnsl-2.19.so
00007f42b4a05000   2044K ----- libnsl-2.19.so
00007f42b4c04000      4K r---- libnsl-2.19.so
00007f42b4c05000      4K rw--- libnsl-2.19.so
00007f42b4c06000      8K rw---   [ anon ]
00007f42b4c08000     28K r-x-- libnss_compat-2.19.so
00007f42b4c0f000   2044K ----- libnss_compat-2.19.so
00007f42b4e0e000      4K r---- libnss_compat-2.19.so
00007f42b4e0f000      4K rw--- libnss_compat-2.19.so
00007f42b4e10000    184K r-x-- libjava.so
00007f42b4e3e000   2044K ----- libjava.so
00007f42b503d000      4K r---- libjava.so
00007f42b503e000      8K rw--- libjava.so
00007f42b5040000     60K r-x-- libverify.so
00007f42b504f000   2048K ----- libverify.so
00007f42b524f000     12K r---- libverify.so
00007f42b5252000      4K rw--- libverify.so
00007f42b5253000     28K r-x-- librt-2.19.so
00007f42b525a000   2044K ----- librt-2.19.so
00007f42b5459000      4K r---- librt-2.19.so
00007f42b545a000      4K rw--- librt-2.19.so
00007f42b545b000     88K r-x-- libgcc_s.so.1
00007f42b5471000   2044K ----- libgcc_s.so.1
00007f42b5670000      4K rw--- libgcc_s.so.1
00007f42b5671000   1024K r-x-- libm-2.19.so
00007f42b5771000   2044K ----- libm-2.19.so
00007f42b5970000      4K r---- libm-2.19.so
00007f42b5971000      4K rw--- libm-2.19.so
00007f42b5972000    944K r-x-- libstdc++.so.6.0.20
00007f42b5a5e000   2048K ----- libstdc++.so.6.0.20
00007f42b5c5e000     32K r---- libstdc++.so.6.0.20
00007f42b5c66000      8K rw--- libstdc++.so.6.0.20
00007f42b5c68000     84K rw---   [ anon ]
00007f42b5c7d000  12892K r-x-- libjvm.so
00007f42b6914000   2044K ----- libjvm.so
00007f42b6b13000    652K r---- libjvm.so
00007f42b6bb6000    164K rw--- libjvm.so
00007f42b6bdf000    196K rw---   [ anon ]
00007f42b6c10000   1668K r-x-- libc-2.19.so
00007f42b6db1000   2048K ----- libc-2.19.so
00007f42b6fb1000     16K r---- libc-2.19.so
00007f42b6fb5000      8K rw--- libc-2.19.so
00007f42b6fb7000     16K rw---   [ anon ]
00007f42b6fbb000     12K r-x-- libdl-2.19.so
00007f42b6fbe000   2044K ----- libdl-2.19.so
00007f42b71bd000      4K r---- libdl-2.19.so
00007f42b71be000      4K rw--- libdl-2.19.so
00007f42b71bf000     56K r-x-- libjli.so
00007f42b71cd000   2044K ----- libjli.so
00007f42b73cc000      4K r---- libjli.so
00007f42b73cd000      4K rw--- libjli.so
00007f42b73ce000    104K r-x-- libz.so.1.2.8
00007f42b73e8000   2044K ----- libz.so.1.2.8
00007f42b75e7000      4K r---- libz.so.1.2.8
00007f42b75e8000      4K rw--- libz.so.1.2.8
00007f42b75e9000     96K r-x-- libpthread-2.19.so
00007f42b7601000   2044K ----- libpthread-2.19.so
00007f42b7800000      4K r---- libpthread-2.19.so
00007f42b7801000      4K rw--- libpthread-2.19.so
00007f42b7802000     16K rw---   [ anon ]
00007f42b7806000    128K r-x-- ld-2.19.so
00007f42b7826000      8K r--s- sunec.jar
00007f42b7828000     20K r--s- sunjce_provider.jar
00007f42b782d000      4K r--s- jaccess.jar
00007f42b782e000      4K r--s- zipfs.jar
00007f42b782f000      8K r--s- dnsns.jar
00007f42b7831000    152K r---- LC_CTYPE
00007f42b7857000      4K r---- LC_NUMERIC
00007f42b7858000      4K r---- LC_TIME
00007f42b7859000      4K r---- LC_MONETARY
00007f42b785a000      4K r---- SYS_LC_MESSAGES
00007f42b785b000      4K r---- LC_PAPER
00007f42b785c000      4K r---- LC_NAME
00007f42b785d000      4K r---- LC_ADDRESS
00007f42b785e000      4K r---- LC_TELEPHONE
00007f42b785f000     28K r--s- gconv-modules.cache
00007f42b7866000    208K rw---   [ anon ]
00007f42b789a000     76K -----   [ anon ]
00007f42b78ad000    192K rw---   [ anon ]
00007f42b78dd000     72K -----   [ anon ]
00007f42b78ef000    140K rw---   [ anon ]
00007f42b7912000     32K rw-s- 1
00007f42b791a000     12K -----   [ anon ]
00007f42b791d000   1036K rw---   [ anon ]
00007f42b7a20000      4K r---- LC_MEASUREMENT
00007f42b7a21000      4K r---- LC_IDENTIFICATION
00007f42b7a22000      4K rw---   [ anon ]
